�_�E�����[�h���������F2026/06/18 08:29:11

,���,���,���,���,���,���,���,���,���
2025/9/11,27.6,8,1,31.3,8,1,23.7,8,1
2025/9/12,28.3,8,1,34.0,8,1,24.3,8,1
2025/9/13,28.8,8,1,31.9,8,1,25.5,8,1
2025/9/14,29.9,8,1,32.8,8,1,28.1,8,1
2025/9/15,30.5,8,1,34.3,8,1,27.6,8,1
2025/9/16,30.4,8,1,35.5,8,1,26.5,8,1
2025/9/17,30.6,8,1,34.3,8,1,28.4,8,1
2025/9/18,28.5,8,1,32.5,8,1,25.4,8,1
2025/9/19,26.8,8,1,32.3,8,1,23.9,8,1
2025/9/20,27.8,8,1,30.9,8,1,24.5,8,1
2025/9/21,26.6,8,1,30.9,8,1,22.7,8,1
2025/9/22,24.9,8,1,30.1,8,1,20.9,8,1
2025/9/23,25.1,8,1,28.4,8,1,22.7,8,1
2025/9/24,25.6,8,1,30.0,8,1,23.6,8,1
2025/9/25,25.6,8,1,29.2,8,1,23.9,8,1
2025/9/26,26.2,8,1,28.6,8,1,23.9,8,1
2025/9/27,25.0,8,1,29.9,8,1,21.6,8,1
2025/9/28,24.6,8,1,30.6,8,1,20.3,8,1
2025/9/29,24.9,8,1,27.4,8,1,22.5,8,1
2025/9/30,24.5,8,1,29.5,8,1,20.1,8,1
2025/10/1,24.7,8,1,28.5,8,1,21.7,8,1
2025/10/2,23.9,8,1,28.0,8,1,19.6,8,1
2025/10/3,23.2,8,1,25.8,8,1,20.7,8,1
2025/10/4,21.4,8,1,22.4,8,1,20.2,8,1
2025/10/5,22.9,8,1,25.1,8,1,21.3,8,1
2025/10/6,24.5,8,1,29.7,8,1,21.4,8,1
2025/10/7,25.4,8,1,31.2,8,1,20.8,8,1
2025/10/8,26.0,8,1,31.8,8,1,22.6,8,1
2025/10/9,24.1,8,1,28.2,8,1,20.4,8,1
2025/10/10,22.3,8,1,25.9,8,1,19.1,8,1
2025/10/11,23.8,8,1,28.5,8,1,21.0,8,1
2025/10/12,23.9,8,1,25.7,8,1,22.6,8,1
2025/10/13,24.5,8,1,29.0,8,1,21.8,8,1
2025/10/14,25.2,8,1,29.8,8,1,20.5,8,1
2025/10/15,23.8,8,1,27.6,8,1,21.1,8,1
2025/10/16,24.0,8,1,26.4,8,1,22.2,8,1
2025/10/17,24.2,8,1,28.9,8,1,20.8,8,1
2025/10/18,22.7,8,1,26.3,8,1,20.1,8,1
2025/10/19,21.1,8,1,23.1,8,1,18.0,8,1
2025/10/20,19.9,8,1,24.0,8,1,17.3,8,1
2025/10/21,17.0,8,1,19.5,8,1,15.3,8,1
2025/10/22,14.3,8,1,15.9,8,1,13.0,8,1
2025/10/23,17.7,8,1,23.6,8,1,13.9,8,1
2025/10/24,17.4,8,1,22.7,8,1,13.8,8,1
2025/10/25,18.2,8,1,22.2,8,1,15.8,8,1
2025/10/26,19.3,8,1,21.3,8,1,17.7,8,1
2025/10/27,18.7,8,1,22.5,8,1,15.3,8,1
2025/10/28,15.5,8,1,19.3,8,1,12.1,8,1
2025/10/29,14.3,8,1,19.5,8,1,10.3,8,1
2025/10/30,16.2,8,1,22.3,8,1,10.9,8,1
2025/10/31,15.2,8,1,17.1,8,1,12.6,8,1
2025/11/1,16.9,8,1,20.9,8,1,13.0,8,1
2025/11/2,17.1,8,1,20.8,8,1,12.9,8,1
2025/11/3,14.5,8,1,17.1,8,1,10.7,8,1
2025/11/4,13.8,8,1,17.7,8,1,8.9,8,1
2025/11/5,15.4,8,1,17.0,8,1,14.3,8,1
2025/11/6,16.9,8,1,22.1,8,1,13.8,8,1
2025/11/7,16.0,8,1,21.6,8,1,12.3,8,1
2025/11/8,15.5,8,1,20.0,8,1,10.6,8,1
2025/11/9,15.4,8,1,16.4,8,1,14.6,8,1
2025/11/10,15.9,8,1,19.0,8,1,13.2,8,1
2025/11/11,13.5,8,1,18.3,8,1,9.4,8,1
2025/11/12,13.0,8,1,16.9,8,1,9.4,8,1
2025/11/13,14.7,8,1,17.4,8,1,12.5,8,1
2025/11/14,15.5,8,1,20.7,8,1,11.8,8,1
2025/11/15,14.6,8,1,19.9,8,1,10.8,8,1
2025/11/16,14.5,8,1,20.9,8,1,9.5,8,1
2025/11/17,15.4,8,1,20.9,8,1,11.0,8,1
2025/11/18,11.9,8,1,14.7,8,1,8.8,8,1
2025/11/19,9.6,8,1,13.7,8,1,7.6,8,1
2025/11/20,10.9,8,1,15.9,8,1,6.2,8,1
2025/11/21,13.1,8,1,17.8,8,1,8.5,8,1
2025/11/22,12.7,8,1,17.4,8,1,8.6,8,1
2025/11/23,12.3,8,1,18.2,8,1,6.8,8,1
2025/11/24,13.1,8,1,19.1,8,1,7.9,8,1
2025/11/25,12.3,8,1,14.9,8,1,11.1,8,1
2025/11/26,12.1,8,1,15.2,8,1,9.6,8,1
2025/11/27,12.2,8,1,17.8,8,1,7.6,8,1
2025/11/28,13.3,8,1,16.0,8,1,10.6,8,1
2025/11/29,11.7,8,1,16.1,8,1,8.1,8,1
2025/11/30,11.7,8,1,17.1,8,1,6.7,8,1
2025/12/1,14.7,8,1,20.7,8,1,9.6,8,1
2025/12/2,15.1,8,1,20.0,8,1,11.1,8,1
2025/12/3,10.2,8,1,14.4,8,1,4.4,8,1
2025/12/4,6.2,8,1,8.7,8,1,3.2,8,1
2025/12/5,8.6,8,1,12.2,8,1,5.6,8,1
2025/12/6,8.1,8,1,12.9,8,1,3.0,8,1
2025/12/7,10.4,8,1,16.2,8,1,5.3,8,1
2025/12/8,11.2,8,1,17.4,8,1,7.2,8,1
2025/12/9,9.8,8,1,13.7,8,1,7.2,8,1
2025/12/10,9.2,8,1,14.2,8,1,4.8,8,1
2025/12/11,11.3,8,1,16.0,8,1,6.3,8,1
2025/12/12,7.7,8,1,12.7,8,1,5.8,8,1
2025/12/13,7.7,8,1,12.0,8,1,3.3,8,1
2025/12/14,10.1,8,1,13.2,8,1,7.8,8,1
2025/12/15,8.1,8,1,11.7,8,1,5.7,8,1
2025/12/16,8.4,8,1,12.7,8,1,4.0,8,1
2025/12/17,9.8,8,1,14.1,8,1,6.0,8,1
2025/12/18,9.7,8,1,13.8,8,1,5.9,8,1
2025/12/19,9.5,8,1,15.2,8,1,3.8,8,1
2025/12/20,14.8,8,1,20.8,8,1,10.7,8,1
2025/12/21,12.4,8,1,14.4,8,1,9.8,8,1
2025/12/22,8.8,8,1,11.8,8,1,5.9,8,1
2025/12/23,8.6,8,1,14.6,8,1,3.5,8,1
2025/12/24,11.2,8,1,13.2,8,1,8.9,8,1
2025/12/25,11.3,8,1,12.9,8,1,7.7,8,1
2025/12/26,5.4,8,1,8.2,8,1,3.2,8,1
2025/12/27,5.3,8,1,9.1,8,1,1.1,8,1
2025/12/28,6.8,8,1,11.4,8,1,3.5,8,1
2025/12/29,8.2,8,1,13.6,8,1,2.4,8,1
2025/12/30,10.4,8,1,13.7,8,1,8.1,8,1
2025/12/31,7.8,8,1,11.1,8,1,5.7,8,1
2026/1/1,6.0,8,1,8.6,8,1,2.9,8,1
2026/1/2,4.5,8,1,7.2,8,1,2.8,8,1
2026/1/3,5.2,8,1,9.3,8,1,1.1,8,1
2026/1/4,7.0,8,1,9.0,8,1,3.2,8,1
2026/1/5,9.2,8,1,12.7,8,1,6.3,8,1
2026/1/6,6.4,8,1,11.0,8,1,3.9,8,1
2026/1/7,6.6,8,1,11.4,8,1,2.5,8,1
2026/1/8,6.4,8,1,9.2,8,1,3.2,8,1
2026/1/9,5.4,8,1,9.1,8,1,3.1,8,1
2026/1/10,9.0,8,1,15.6,8,1,1.0,8,1
2026/1/11,6.0,8,1,12.9,8,1,0.9,8,1
2026/1/12,3.8,8,1,7.2,8,1,0.7,8,1
2026/1/13,7.9,8,1,12.9,8,1,3.0,8,1
2026/1/14,6.9,8,1,9.7,8,1,4.7,8,1
2026/1/15,7.5,8,1,12.2,8,1,1.9,8,1
2026/1/16,12.1,8,1,16.8,8,1,8.1,8,1
2026/1/17,9.8,8,1,14.8,8,1,4.7,8,1
2026/1/18,9.4,8,1,13.9,8,1,6.0,8,1
2026/1/19,10.2,8,1,15.5,8,1,4.9,8,1
2026/1/20,6.3,8,1,12.5,8,1,1.4,8,1
2026/1/21,2.7,8,1,6.1,8,1,-0.1,8,1
2026/1/22,2.7,8,1,6.9,8,1,0.5,8,1
2026/1/23,3.6,8,1,7.4,8,1,-0.3,8,1
2026/1/24,4.9,8,1,8.5,8,1,2.9,8,1
2026/1/25,3.4,8,1,6.8,8,1,1.9,8,1
2026/1/26,3.3,8,1,5.0,8,1,1.9,8,1
2026/1/27,6.0,8,1,10.8,8,1,1.4,8,1
2026/1/28,5.9,8,1,9.1,8,1,3.9,8,1
2026/1/29,5.4,8,1,9.7,8,1,2.5,8,1
2026/1/30,3.8,8,1,7.0,8,1,1.7,8,1
2026/1/31,4.0,8,1,7.0,8,1,1.4,8,1
2026/2/1,5.8,8,1,9.3,8,1,1.5,8,1
2026/2/2,5.9,8,1,9.0,8,1,2.0,8,1
2026/2/3,5.3,8,1,9.1,8,1,2.7,8,1
2026/2/4,5.8,8,1,11.6,8,1,0.8,8,1
2026/2/5,7.7,8,1,12.7,8,1,2.8,8,1
2026/2/6,8.4,8,1,13.6,8,1,4.4,8,1
2026/2/7,6.1,8,1,8.4,8,1,4.4,8,1
2026/2/8,1.4,8,1,5.6,8,1,-1.4,8,1
2026/2/9,2.5,8,1,6.2,8,1,-1.7,8,1
2026/2/10,5.2,8,1,10.1,8,1,-0.2,8,1
2026/2/11,7.3,8,1,9.6,8,1,5.5,8,1
2026/2/12,7.5,8,1,11.2,8,1,4.4,8,1
2026/2/13,7.8,8,1,12.1,8,1,3.6,8,1
2026/2/14,10.0,8,1,15.9,8,1,3.0,8,1
2026/2/15,13.5,8,1,17.4,8,1,10.8,8,1
2026/2/16,9.4,8,1,12.8,8,1,4.6,8,1
2026/2/17,6.7,8,1,11.5,8,1,3.8,8,1
2026/2/18,6.7,8,1,12.8,8,1,2.3,8,1
2026/2/19,4.9,8,1,9.5,8,1,2.1,8,1
2026/2/20,6.3,8,1,11.4,8,1,1.5,8,1
2026/2/21,9.6,8,1,16.3,8,1,3.4,8,1
2026/2/22,15.1,8,1,21.4,8,1,8.0,8,1
2026/2/23,14.6,8,1,19.1,8,1,9.9,8,1
2026/2/24,13.2,8,1,20.1,8,1,7.6,8,1
2026/2/25,12.1,8,1,13.7,8,1,10.8,8,1
2026/2/26,12.0,8,1,14.3,8,1,10.5,8,1
2026/2/27,13.1,8,1,16.7,8,1,10.2,8,1
2026/2/28,11.8,8,1,15.4,8,1,8.6,8,1
2026/3/1,11.0,8,1,17.4,8,1,7.2,8,1
2026/3/2,10.8,8,1,15.5,8,1,7.0,8,1
2026/3/3,12.1,8,1,13.2,8,1,10.7,8,1
2026/3/4,8.8,8,1,12.4,8,1,6.1,8,1
2026/3/5,8.5,8,1,14.1,8,1,5.2,8,1
2026/3/6,10.1,8,1,16.7,8,1,5.0,8,1
2026/3/7,8.7,8,1,11.5,8,1,5.5,8,1
2026/3/8,6.1,8,1,10.6,8,1,3.2,8,1
2026/3/9,7.1,8,1,11.2,8,1,2.8,8,1
2026/3/10,7.0,8,1,10.8,8,1,4.9,8,1
2026/3/11,7.0,8,1,12.3,8,1,2.4,8,1
2026/3/12,7.4,8,1,13.4,8,1,2.7,8,1
2026/3/13,6.9,8,1,10.6,8,1,4.9,8,1
2026/3/14,8.9,8,1,15.0,8,1,5.9,8,1
2026/3/15,9.0,8,1,12.9,8,1,6.7,8,1
2026/3/16,9.8,8,1,16.2,8,1,5.6,8,1
2026/3/17,10.5,8,1,17.2,8,1,6.3,8,1
2026/3/18,10.2,8,1,15.5,8,1,5.9,8,1
2026/3/19,11.6,8,1,16.6,8,1,7.2,8,1
2026/3/20,10.1,8,1,14.3,8,1,5.2,8,1
2026/3/21,10.1,8,1,16.0,8,1,4.9,8,1
2026/3/22,10.8,8,1,15.6,8,1,5.2,8,1
2026/3/23,12.8,8,1,17.9,8,1,9.2,8,1
2026/3/24,13.0,8,1,19.0,8,1,8.4,8,1
2026/3/25,11.8,8,1,14.9,8,1,10.3,8,1
2026/3/26,13.7,8,1,18.5,8,1,11.3,8,1
2026/3/27,13.8,8,1,19.8,8,1,8.1,8,1
2026/3/28,15.8,8,1,21.6,8,1,9.5,8,1
2026/3/29,17.3,8,1,22.2,8,1,12.8,8,1
2026/3/30,19.1,8,1,23.6,8,1,15.3,8,1
2026/3/31,17.8,8,1,25.0,8,1,14.4,8,1
2026/4/1,13.1,8,1,15.7,8,1,11.1,8,1
2026/4/2,13.4,8,1,17.4,8,1,10.5,8,1
2026/4/3,15.0,8,1,21.0,8,1,8.6,8,1
2026/4/4,16.6,8,1,18.9,8,1,15.0,8,1
2026/4/5,18.5,8,1,22.8,8,1,15.6,8,1
2026/4/6,18.8,8,1,23.1,8,1,14.9,8,1
2026/4/7,13.6,8,1,18.8,8,1,9.4,8,1
2026/4/8,12.8,8,1,18.8,8,1,7.6,8,1
2026/4/9,14.8,8,1,19.2,8,1,9.4,8,1
2026/4/10,16.9,8,1,20.6,8,1,13.7,8,1
2026/4/11,19.1,8,1,22.1,8,1,16.2,8,1
2026/4/12,18.5,8,1,23.4,8,1,14.2,8,1
2026/4/13,18.1,8,1,21.7,8,1,13.8,8,1
2026/4/14,19.7,8,1,25.8,8,1,14.9,8,1
2026/4/15,17.0,8,1,20.5,8,1,14.3,8,1
2026/4/16,17.4,8,1,23.8,8,1,13.4,8,1
2026/4/17,17.8,8,1,25.8,8,1,11.8,8,1
2026/4/18,19.3,8,1,25.5,8,1,14.1,8,1
2026/4/19,20.0,8,1,25.0,8,1,16.8,8,1
2026/4/20,20.7,8,1,25.5,8,1,16.7,8,1
2026/4/21,18.5,8,1,23.3,8,1,13.4,8,1
2026/4/22,17.3,8,1,22.7,8,1,10.9,8,1
2026/4/23,14.7,8,1,18.2,8,1,13.0,8,1
2026/4/24,16.3,8,1,20.8,8,1,14.0,8,1
2026/4/25,17.8,8,1,24.2,8,1,13.1,8,1
2026/4/26,18.3,8,1,24.3,8,1,14.7,8,1
2026/4/27,17.8,8,1,23.6,8,1,13.8,8,1
2026/4/28,20.4,8,1,25.9,8,1,14.4,8,1
2026/4/29,17.7,8,1,21.2,8,1,15.0,8,1
2026/4/30,14.6,8,1,17.1,8,1,12.6,8,1
2026/5/1,16.5,8,1,20.4,8,1,14.8,8,1
2026/5/2,18.7,8,1,23.6,8,1,13.3,8,1
2026/5/3,18.8,8,1,22.0,8,1,17.0,8,1
2026/5/4,18.0,8,1,21.6,8,1,13.8,8,1
2026/5/5,17.1,8,1,23.8,8,1,11.3,8,1
2026/5/6,17.3,8,1,20.9,8,1,14.3,8,1
2026/5/7,21.0,8,1,27.4,8,1,16.0,8,1
2026/5/8,20.9,8,1,24.6,8,1,17.0,8,1
2026/5/9,18.1,8,1,22.5,8,1,14.4,8,1
2026/5/10,18.9,8,1,24.7,8,1,12.6,8,1
2026/5/11,20.3,8,1,26.2,8,1,14.8,8,1
2026/5/12,21.4,8,1,26.2,8,1,17.4,8,1
2026/5/13,22.4,8,1,26.8,8,1,19.3,8,1
2026/5/14,21.9,8,1,28.1,8,1,17.2,8,1
2026/5/15,21.7,8,1,29.2,8,1,16.3,8,1
2026/5/16,22.8,8,1,28.2,8,1,18.5,8,1
2026/5/17,23.8,8,1,29.9,8,1,17.7,8,1
2026/5/18,24.0,8,1,31.5,8,1,17.7,8,1
2026/5/19,23.7,8,1,28.6,8,1,19.4,8,1
2026/5/20,24.5,8,1,30.0,8,1,20.7,8,1
2026/5/21,24.0,8,1,25.4,8,1,22.7,8,1
2026/5/22,22.1,8,1,25.8,8,1,19.8,8,1
2026/5/23,21.5,8,1,26.9,8,1,19.4,8,1
2026/5/24,23.0,8,1,28.0,8,1,19.0,8,1
2026/5/25,24.1,8,1,31.1,8,1,19.2,8,1
2026/5/26,24.7,8,1,31.0,8,1,20.7,8,1
2026/5/27,22.8,8,1,25.2,8,1,20.4,8,1
2026/5/28,24.0,8,1,28.6,8,1,19.9,8,1
2026/5/29,23.7,8,1,28.8,8,1,19.4,8,1
2026/5/30,23.8,8,1,30.2,8,1,16.7,8,1
2026/5/31,25.1,8,1,30.1,8,1,21.9,8,1
2026/6/1,24.8,8,1,29.5,8,1,21.4,8,1
2026/6/2,20.4,8,1,23.9,8,1,18.8,8,1
2026/6/3,22.9,8,1,27.3,8,1,18.8,8,1
2026/6/4,22.5,8,1,27.5,8,1,19.6,8,1
2026/6/5,21.6,8,1,24.3,8,1,19.2,8,1
2026/6/6,23.5,8,1,28.2,8,1,19.6,8,1
2026/6/7,20.2,8,1,22.6,8,1,19.0,8,1
2026/6/8,21.4,8,1,26.1,8,1,18.9,8,1
2026/6/9,20.1,8,1,23.0,8,1,17.5,8,1
2026/6/10,22.5,8,1,28.5,8,1,17.1,8,1
2026/6/11,23.9,8,1,29.6,8,1,18.3,8,1
2026/6/12,25.0,8,1,29.4,8,1,21.4,8,1
2026/6/13,25.3,8,1,30.8,8,1,21.0,8,1
2026/6/14,23.7,8,1,28.4,8,1,21.0,8,1
2026/6/15,23.3,8,1,28.3,8,1,19.6,8,1
2026/6/16,23.6,8,1,26.9,8,1,20.4,8,1
2026/6/17,24.5,8,1,28.6,8,1,21.4,8,1
